# eps=0 u'(0)=0
0.118091 0.941092
0.118213 0.941031
0.118334 0.940971
0.118456 0.94091
0.118578 0.94085
0.118699 0.94079
0.118821 0.940729
0.118942 0.940669
0.119064 0.940609
0.119186 0.940548
0.119307 0.940488
0.119429 0.940427
0.11955 0.940367
0.119672 0.940307
0.119794 0.940246
0.119915 0.940186
0.120037 0.940126
0.120158 0.940065
0.12028 0.940005
0.120402 0.939945
0.120523 0.939884
0.120645 0.939824
0.120766 0.939763
0.120888 0.939703
0.12101 0.939643
0.121131 0.939582
0.121253 0.939522
0.121374 0.939462
0.121496 0.939401
0.121617 0.939341
0.121739 0.939281
0.121861 0.93922
0.121982 0.93916
0.122104 0.9391
0.122225 0.939039
0.122347 0.938979
0.122468 0.938919
0.12259 0.938858
0.122711 0.938798
0.122833 0.938738
0.122955 0.938677
0.123076 0.938617
0.123198 0.938557
0.123319 0.938497
0.123441 0.938436
0.123562 0.938376
0.123684 0.938316
0.123805 0.938255
0.123927 0.938195
0.124048 0.938135
0.12417 0.938074
0.124291 0.938014
0.124413 0.937954
0.124534 0.937894
0.124656 0.937833
0.124777 0.937773
0.124899 0.937713
0.125021 0.937652
0.125142 0.937592
0.125264 0.937532
0.125385 0.937472
0.125507 0.937411
0.125628 0.937351
0.12575 0.937291
0.125871 0.937231
0.125992 0.93717
0.126114 0.93711
0.126235 0.93705
0.126357 0.93699
0.126478 0.936929
0.1266 0.936869
0.126721 0.936809
0.126843 0.936749
0.126964 0.936688
0.127086 0.936628
0.127207 0.936568
0.127329 0.936508
0.12745 0.936447
0.127572 0.936387
0.127693 0.936327
0.127815 0.936267
0.127936 0.936206
0.128057 0.936146
0.128179 0.936086
0.1283 0.936026
0.128422 0.935965
0.128543 0.935905
0.128665 0.935845
0.128786 0.935785
0.128908 0.935725
0.129029 0.935664
0.12915 0.935604
0.129272 0.935544
0.129393 0.935484
0.129515 0.935424
0.129636 0.935363
0.129758 0.935303
0.129879 0.935243
0.13 0.935183
0.130122 0.935123
0.130243 0.935062
0.130365 0.935002
0.130486 0.934942
0.130607 0.934882
0.130729 0.934822
0.13085 0.934761
0.130972 0.934701
0.131093 0.934641
0.131214 0.934581
0.131336 0.934521
0.131457 0.934461
0.131579 0.9344
0.1317 0.93434
0.131821 0.93428
0.131943 0.93422
0.132064 0.93416
0.132185 0.9341
0.132307 0.934039
0.132428 0.933979
0.13255 0.933919
0.132671 0.933859
0.132792 0.933799
0.132914 0.933739
0.133035 0.933679
0.133156 0.933618
0.133278 0.933558
0.133399 0.933498
0.13352 0.933438
0.133642 0.933378
0.133763 0.933318
0.133885 0.933258
0.134006 0.933197
0.134127 0.933137
0.134249 0.933077
0.13437 0.933017
0.134491 0.932957
0.134613 0.932897
0.134734 0.932837
0.134855 0.932777
0.134977 0.932716
0.135098 0.932656
0.135219 0.932596
0.13534 0.932536
0.135462 0.932476
0.135583 0.932416
0.135704 0.932356
0.135826 0.932296
0.135947 0.932236
0.136068 0.932176
0.13619 0.932115
0.136311 0.932055
0.136432 0.931995
0.136554 0.931935
0.136675 0.931875
0.136796 0.931815
0.136917 0.931755
0.137039 0.931695
0.13716 0.931635
0.137281 0.931575
0.137403 0.931515
0.137524 0.931455
0.137645 0.931395
0.137766 0.931335
0.137888 0.931274
0.138009 0.931214
0.13813 0.931154
0.138251 0.931094
0.138373 0.931034
0.138494 0.930974
0.138615 0.930914
0.138736 0.930854
0.138858 0.930794
0.138979 0.930734
0.1391 0.930674
0.139221 0.930614
0.139343 0.930554
0.139464 0.930494
0.139585 0.930434
0.139706 0.930374
0.139828 0.930314
0.139949 0.930254
0.14007 0.930194
0.140191 0.930134
0.140313 0.930074
0.140434 0.930014
0.140555 0.929954
0.140676 0.929894
0.140797 0.929834
0.140919 0.929774
0.14104 0.929714
0.141161 0.929654
0.141282 0.929594
0.141403 0.929534
0.141525 0.929474
0.141646 0.929414
0.141767 0.929354
0.141888 0.929294
0.142009 0.929234
0.142131 0.929174
0.142252 0.929114
0.142373 0.929054
0.142494 0.928994
0.142615 0.928934
0.142737 0.928874
0.142858 0.928814
0.142979 0.928754
0.1431 0.928694
0.143221 0.928634
0.143342 0.928574
0.143464 0.928514
0.143585 0.928454
0.143706 0.928394
0.143827 0.928334
0.143948 0.928274
0.144069 0.928214
0.144191 0.928154
0.144312 0.928094
0.144433 0.928034
0.144554 0.927974
0.144675 0.927915
0.144796 0.927855
0.144917 0.927795
0.145039 0.927735
0.14516 0.927675
0.145281 0.927615
0.145402 0.927555
0.145523 0.927495
0.145644 0.927435
0.145765 0.927375
0.145886 0.927315
0.146008 0.927255
0.146129 0.927195
0.14625 0.927135
0.146371 0.927076
0.146492 0.927016
0.146613 0.926956
0.146734 0.926896
0.146855 0.926836
0.146976 0.926776
0.147098 0.926716
0.147219 0.926656
0.14734 0.926596
0.147461 0.926536
0.147582 0.926477
0.147703 0.926417
0.147824 0.926357
0.147945 0.926297
0.148066 0.926237
0.148187 0.926177
0.148308 0.926117
0.14843 0.926057
0.148551 0.925998
0.148672 0.925938
0.148793 0.925878
0.148914 0.925818
0.149035 0.925758
0.149156 0.925698
0.149277 0.925638
0.149398 0.925579
0.149519 0.925519
